sex,year,sido,height_2016,weight_2016,waist_2016,sight_left_2016,sight_right_2016,hearing_left_2016,hearing_right_2016,SBP_2016,RPBP_2016,cholesterol_2016,triglycerides_2016,HDL_2016,LDL_2016,blood_pigment_2016,urine_protein_2016,serum_creatinine_2016,AST_2016,ALT_2016,gamma_gtp_2016,smoking_2016,oral_inspection_2016,target,stress_percentage,smoke_percentage,alcohol_percentage,health_percentage,pressure_percentage
1,8,48,161.4932625,59.50951652,83.20318447,0.80634711,0.770963973,1.182590379,1.145705891,127.5494494,75.81123289,181.7515453,115.6417623,51.87138105,107.6415322,13.53223165,1.136649881,1.026802236,26.27105101,21.82590009,35.94011334,1.637819988,0.132389075,0.140630077,0.556743128,1.165276314,0.40784671,1.819125801,4.156152187
1,8,49,161.8884733,63.82514211,86.63286948,0.733055824,0.726126126,1.092543436,1.106392106,133.6516114,78.63194444,180.7189645,101.937071,50.20959352,109.878794,13.81334191,1.258199457,1.102776437,26.14386261,21.54000429,30.6267026,1.646329365,0.150699807,0.133714071,0.107465419,0.224927622,0.078724668,0.35113701,0.802241852
2,5,11,157.4214505,56.03121766,74.93510678,0.976162277,0.973875464,1.005898468,1.006153768,115.4606457,72.65574033,195.6734081,97.13459866,63.24591031,113.0292112,12.8738654,1.103306846,0.732899975,20.977833,17.69402513,21.01410805,1.146393149,0.415851334,0.024974462,5.042646206,1.086108414,1.105503207,5.236594137,2.404954344
2,5,26,157.4344635,56.29401828,74.5188826,0.978473597,0.972279725,1.006565984,1.005758605,115.2902113,71.8646507,198.3943772,97.20703852,63.34241579,116.125065,12.77149202,1.08889911,0.733294501,21.42986901,18.17596901,21.60631224,1.090863144,0.366505452,0.028529528,1.690650546,0.364140118,0.37064262,1.755675567,0.80631026
2,5,27,157.0955113,55.62105906,74.57649406,0.979721736,0.974245672,1.010350406,1.009849442,115.9662394,72.50858234,195.1372496,95.74044143,62.17208829,113.7546932,12.72442954,1.063348292,0.741452462,21.21878608,17.84768251,20.0539983,1.076363662,0.282767402,0.027011885,1.325791038,0.285554993,0.290654189,1.376783001,0.632300341
2,5,28,156.8638254,56.72416573,75.49275547,1.015529736,1.007714781,1.004700736,1.006357136,116.5669911,73.8727377,195.2685984,102.3587076,62.12547344,113.214877,12.85132665,1.087334507,0.746549368,21.34893599,18.33957986,22.60666569,1.144687286,0.476810494,0.03737511,1.52143667,0.327694052,0.333545732,1.579953465,0.725608258
2,5,29,157.0687265,56.12328326,73.92547442,1.011778383,1.018551996,1.008547965,1.009447026,114.2258244,72.54049045,192.9137332,97.14703603,60.73764997,112.0147109,12.72322797,1.058712393,0.74459203,20.79375687,18.01411973,20.13640576,1.052731112,0.343055359,0.030282153,0.775449688,0.167019933,0.170002432,0.805274676,0.369829851
2,5,30,157.3344903,55.88752781,74.81259978,1.010411047,0.999380067,1.008478445,1.007148124,116.0299601,73.0635228,193.3862517,101.2564375,61.49134443,111.4785288,12.6922875,1.084376998,0.736155207,21.09831746,17.78129407,20.14341414,1.087793881,0.473492994,0.030283987,0.799594562,0.172220367,0.175295731,0.830348199,0.381345099
2,5,31,157.0896871,56.40476739,75.30391986,0.948653219,0.963613109,1.012434163,1.009616826,117.040547,73.03431448,196.8372592,98.03697817,62.41500936,114.9728585,12.68993079,1.067531843,0.726911348,21.49969646,18.29428484,21.23427825,1.084482248,0.464733409,0.032454319,0.629733364,0.135634878,0.13805693,0.653953878,0.300334374
2,5,41,157.0200201,56.38018677,75.23725997,1.006643565,0.998934359,1.005615195,1.005752002,116.3621156,73.15141761,195.2542693,101.006272,62.17825664,113.1058633,12.86233727,1.0899329,0.730588554,21.25642626,18.22763202,21.74323446,1.136120072,0.363474739,0.030018522,6.825332904,1.470071702,1.496322983,7.087845708,3.25515877
2,5,42,156.6226484,56.98575138,75.10856896,1.022464329,1.017988917,1.00858915,1.010062936,118.155385,74.2621191,192.1649819,101.4969304,61.14704387,110.8386346,12.92289155,1.080304314,0.733969406,21.68789848,19.32512974,23.43381253,1.086062954,0.354756108,0.039533341,0.71265844,0.153495664,0.156236658,0.74006838,0.339883256
2,5,43,156.4175694,56.47289292,75.14455208,1.042214881,1.030644187,1.008440785,1.007118002,117.1001831,74.25925535,193.375118,100.5548698,62.10359396,111.3013095,12.9075339,1.062215163,0.755710074,21.26814274,18.23452749,22.13482811,1.090864056,0.502763475,0.03246872,0.757269916,0.16310429,0.166016866,0.786395682,0.361159498
2,5,44,156.5386206,56.89750068,76.15402979,1.033408213,1.032342589,1.007266281,1.006945435,117.8911269,74.31550957,194.235923,105.3131082,61.46548178,111.8865262,12.91714533,1.065941758,0.713968687,22.28245956,19.66292143,21.7352926,1.111772616,0.359170926,0.039512663,0.937730456,0.201972714,0.205579369,0.973797012,0.447225294
2,5,45,156.5556104,56.10081851,74.86966072,1.046668354,1.035560155,1.005121026,1.005021004,116.1486055,73.22855216,194.8421126,102.0285331,60.02338746,114.4365977,12.65183915,1.061284152,0.746510354,21.20094966,18.23562731,21.28201989,1.060734636,0.418771542,0.034315427,0.854194328,0.183980317,0.18726568,0.887047956,0.407384987
2,5,46,156.8995827,57.08485948,75.49575767,1.045968043,1.036490744,1.008801531,1.009401254,117.7608753,73.99175973,196.353629,104.088935,59.83831952,115.7180719,12.68324597,1.051730089,0.750293252,22.37796961,19.54582835,22.8988439,1.051290266,0.312212426,0.042332737,0.792310558,0.170651505,0.173698853,0.822784041,0.377871189
